主分類,子分類,難度,題目,答案
運動,4,1,"這項格鬥運動是兩名選手戴著拳套，在方形拳擊台中，主要運用拳頭互相攻擊，目標是擊倒對方或贏得點數。請問這項運動是什麼？",拳擊 (Boxing)
運動,4,2,"這項格鬥運動起源於日本，選手穿著道服，利用投技、寢技和絞技等制服對手，分為柔道、巴西柔術等流派。請問這項運動是什麼？",柔術 (Judo / Jiu-Jitsu) (柔道是其中一種) -> 改問劍擊
運動,4,2,"這項格鬥運動是兩名選手穿著保護服，使用鈍劍、配劍或花劍三種不同的劍進行刺擊或劈刺得分。請問這項運動是什麼？",劍擊 (Fencing)
運動,4,3,"這項格鬥運動允許使用多種搏擊技術，包括拳擊、踢擊、摔跤、地面技等，規則較為開放。UFC是其著名賽事。請問這項運動是什麼？",綜合格鬥 (Mixed Martial Arts / MMA)
運動,4,2,"這項起源於韓國的格鬥運動，以腿法為主，強調踢擊的速度和力量，是奧運會正式項目。請問這項運動是什麼？",跆拳道 (Taekwondo)
運動,5,1,"這項源於古印度的身心修煉方法，結合了姿勢（體位法）、呼吸控制和冥想，旨在促進身心健康與平衡。請問這是什麼？",瑜伽 (Yoga)
運動,5,2,"指透過各種器械或徒手訓練，增強肌肉力量、耐力、體能和改善身體組成的活動。請問這類活動統稱為什麼？",健身 (Fitness Training)
運動,5,3,"這項運動是透過特定的負重訓練和飲食控制，刻意增大肌肉體積和雕塑肌肉線條，以達到健美的體態。請問這項運動是什麼？",健美 (Bodybuilding)
運動,5,4,"這是一種中國傳統的養生方法，透過調整呼吸、身體活動和意識，來增強體質、防治疾病。太極拳是其中一種形式。請問這類方法統稱為什麼？",氣功
運動,5,2,"這是一種結合了音樂和舞蹈的有氧運動，通常在教練帶領下進行，能有效提升心肺功能和燃燒脂肪。請問這項運動是什麼？",健美操 / 有氧舞蹈 (Aerobics)
運動,6,2,"這款由Valve開發的多人線上戰術競技遊戲（MOBA），玩家控制擁有獨特技能的「英雄」，與隊友合作摧毀對方基地。請問這款遊戲是什麼？",Dota 2
運動,6,1,"這款由拳頭遊戲（Riot Games）開發的多人線上戰術競技遊戲（MOBA），是全球最受歡迎的電子競技項目之一，每年舉辦世界大賽。請問這款遊戲是什麼？",英雄聯盟 (League of Legends / LoL)
運動,6,3,"這款由暴雪娛樂開發的即時戰略遊戲，以星際三個種族（人類、蟲族、神族）之間的戰爭為背景，在韓國尤其流行。請問這款遊戲是什麼？",星際爭霸 (StarCraft)
運動,6,1,"這款經典的方塊消除遊戲，由蘇聯設計師阿列克謝·帕基特諾夫發明，玩家需要移動和旋轉下落的方塊，以填滿水平行消除得分。請問這款遊戲是什麼？",俄羅斯方塊 (Tetris)
運動,6,4,"這款由Valve開發的第一人稱射擊遊戲，是經典射擊遊戲的反恐精英系列的續作，兩隊扮演恐怖分子與反恐部隊進行對抗。請問這款遊戲是什麼？",絕對武力：全球攻勢 (Counter-Strike: Global Offensive / CS:GO)
運動,7,1,"這項運動是駕駛經過特殊改裝的汽車，在賽道或公路上競速，一級方程式（F1）是其最高級別賽事。請問這項運動是什麼？",賽車 (Auto Racing)
運動,7,2,"這項運動是騎師策騎馬匹，在賽道上競跑爭奪名次，在香港是一項非常受歡迎的博彩活動。請問這項運動是什麼？",賽馬 (Horse Racing)
運動,7,3,"這項運動是騎手駕馭馬匹，完成跳躍障礙、盛裝舞步或越野等項目，考驗人馬合作的技巧和默契。請問這項運動是什麼？",馬術 (Equestrianism)
運動,7,4,"這是一種利用經過訓練的鴿子進行競速的比賽，鴿子被帶到遠離鴿舍的地方釋放，以最快速度飛回者獲勝。請問這項運動是什麼？",賽鴿 (Pigeon Racing)
運動,7,2,"這項運動是駕駛小型、結構簡單的四輪賽車，在專用的小型賽道上競速，是許多賽車手的起點。請問這項運動是什麼？",小型賽車 / 高卡車 (Kart Racing / Go-Karting)
運動,8,1,"這是全球規模最大、最具影響力的綜合性運動會，每四年舉辦一次（夏季和冬季交替），匯集世界各國的頂尖運動員。請問這個運動會是什麼？",奧林匹克運動會 (奧運會 / Olympics)
運動,8,2,"這是國際足球總會（FIFA）主辦的國家級男子足球隊最高級別賽事，每四年舉辦一次，是全球最受關注的體育盛事之一。請問這個賽事是什麼？",世界盃足球賽 (FIFA World Cup)
運動,8,3,"這是歐洲足球協會聯盟（UEFA）主辦的國家級男子足球隊最高級別賽事，每四年舉辦一次，是歐洲最具聲望的足球比賽。請問這個賽事是什麼？",歐洲國家盃 (UEFA European Championship / 歐國盃)
運動,8,4,"這是亞洲奧林匹克理事會主辦的亞洲規模最大的綜合性運動會，每四年舉辦一次。請問這個運動會是什麼？",亞洲運動會 (亞運會 / Asian Games)
運動,8,3,"這是由拳頭遊戲（Riot Games）為其遊戲《英雄聯盟》舉辦的年度國際性電子競技賽事，是該項目最高榮譽、最高含金量的比賽。請問這個賽事是什麼？",英雄聯盟全球總決賽 (League of Legends World Championship / LoL世界大賽)
運動,9,2,"這是一項古老的策略性棋盤遊戲，兩位玩家在黑白相間的棋盤上移動不同功能的棋子，目標是將死對方的王。請問這項遊戲是什麼？",國際象棋 (Chess)
運動,9,1,"指運動員為了提高成績而使用國際體育組織禁用藥物或方法的行為，嚴重違反體育道德和公平競賽原則。請問這種行為稱為什麼？",使用禁藥 / 興奮劑 (Doping)
運動,9,3,"這是一項在冰上投擲和擦拭石壺的團體運動，目標是讓己方的石壺比對方更接近營壘中心。請問這項運動是什麼？",冰壺 (Curling)
運動,9,4,"指為殘疾運動員舉辦的國際綜合性運動會，緊隨奧運會之後在同一城市舉行。請問這個運動會是什麼？",殘疾人奧林匹克運動會 (帕運會 / Paralympics)
運動,9,2,"在許多體育比賽中，由公正的第三方人員負責執行比賽規則、控制比賽進程和裁決爭議。請問這個角色稱為什麼？",裁判 / 球證 (Referee / Umpire)
文化,0,1,"在農曆新年期間，長輩給予晚輩用紅色封套裝著的錢，寓意祝福和好運。請問這個習俗稱為什麼？",派利是 / 發紅包
文化,0,2,"這是中國傳統曆法中最重要的節日之一，通常在農曆正月十五日慶祝，人們會吃湯圓、賞花燈、猜燈謎。請問這個節日是什麼？",元宵節
文化,0,3,"指根據死者去世的日期，每年進行祭祀的傳統習俗，以表達對先人的懷念。請問這個習俗稱為什麼？",祭日 / 死忌
文化,0,1,"在傳統婚禮中，新娘穿著的紅色中式嫁衣，通常繡有龍鳳圖案，象徵吉祥如意。請問這件嫁衣稱為什麼？",裙褂
文化,0,2,"這是中國及東亞地區用來計算年份的傳統方法，以十天干和十二地支循環組合，六十年為一個週期。請問這個紀年法稱為什麼？",干支紀年 / 天干地支
文化,1,2,"在西方文化中，這個節日是每年十月的最後一天，小孩會裝扮成鬼怪，挨家挨戶討糖果，有雕刻南瓜燈的習俗。請問這個節日是什麼？",萬聖節 (Halloween)
文化,1,1,"在日本，觀賞櫻花盛開是一項重要的傳統活動，人們會在櫻花樹下聚會、野餐。請問這個活動稱為什麼？",花見 (Hanami) / 賞櫻
文化,1,3,"在泰國，人們在潑水節期間互相潑水，寓意洗去厄運、帶來祝福，是泰國新年慶祝活動的一部分。請問這個節日是什麼？",潑水節 (Songkran)
文化,1,4,"在印度教傳統中，這是一種在婦女前額點上紅點的裝飾，象徵吉祥和婚姻狀況。請問這個紅點稱為什麼？",賓迪 (Bindi)
文化,1,2,"在西方餐桌禮儀中，通常將叉子放在餐盤的左側，刀子放在右側，刀刃朝向餐盤。請問這種擺放方式遵循什麼原則？",左叉右刀
文化,2,1,"這個詞語最初指網路上惡意攻擊、騷擾他人的行為，後泛指發表挑釁、煽動性言論的行為。請問這個詞語是什麼？",引戰 / Trolling
文化,2,2,"指在網路上迅速傳播並被大量模仿、修改的圖片、影片、文字或概念，通常帶有幽默或諷刺意味。請問這個現象稱為什麼？",網絡迷因 / 梗圖 (Internet Meme)
文化,2,3,"這個詞語形容一個人對某個領域（尤其是動漫、遊戲等）極度熱愛和沉迷，甚至到了不顧一切的程度。請問這個詞語是什麼？",宅 / 御宅族 (Otaku 的衍生用法)
文化,2,1,"這個表情符號是由冒號、連字號和右括號組成，看起來像一個笑臉，是早期網際網路常用的表達方式。請問這個表情符號是什麼？",:) / 笑臉符號
文化,2,4,"指在社交媒體上擁有大量追隨者，並對其粉絲的觀點和行為產生影響力的人物。請問這類人物稱為什麼？",網絡紅人 / 網紅 / KOL (Key Opinion Leader)
文化,3,1,"在五線譜中，位於開頭用來確定音高的符號，常見的有高音譜號和低音譜號。請問這個符號稱為什麼？",譜號 (Clef)
文化,3,2,"這種由木材製成，有六根弦的撥弦樂器，廣泛應用於流行音樂、民謠、搖滾樂等。請問這是什麼樂器？",結他 / 吉他 (Guitar)
文化,3,3,"指音樂中聲音的強弱程度，例如 p 代表弱（piano），f 代表強（forte）。請問這個音樂要素是什麼？",力度 / 強弱法 (Dynamics)
文化,3,1,"由不同音高的音符按照一定關係疊加而成的組合，是構成音樂和聲的基礎。請問這個組合稱為什麼？",和弦 (Chord)
文化,3,2,"這種大型鍵盤樂器，透過敲擊琴槌使琴弦振動發聲，音域寬廣，表現力豐富。請問這是什麼樂器？",鋼琴 (Piano)
文化,4,2,"這位奧地利作曲家被譽為「音樂神童」，創作出大量交響曲、協奏曲、歌劇等作品，代表作有《魔笛》、《費加洛的婚禮》等。請問他是誰？",沃夫岡·阿瑪迪斯·莫札特 (Wolfgang Amadeus Mozart)
文化,4,1,"這位德國作曲家被譽為「樂聖」，雖然晚年失聰，但仍創作出《命運交響曲》、《英雄交響曲》、《月光奏鳴曲》等不朽名作。請問他是誰？",路德維希·范·貝多芬 (Ludwig van Beethoven)
文化,4,3,"指由管弦樂隊演奏的大型、多樂章的器樂套曲，是西方古典音樂的重要體裁。請問這種體裁是什麼？",交響曲 (Symphony)
文化,4,2,"這位波蘭作曲家兼鋼琴家，以其充滿詩意的夜曲、瑪祖卡舞曲和波蘭舞曲等鋼琴作品聞名。請問他是誰？",弗雷德里克·蕭邦 (Frédéric Chopin)
文化,4,4,"這種起源於意大利的戲劇藝術形式，結合了音樂、歌唱、表演和舞台設計，例如《卡門》、《茶花女》。請問這種藝術形式是什麼？",歌劇 (Opera)
文化,5,2,"這首廣泛流傳的英文生日歌曲，旋律簡單易記，通常在慶祝生日時演唱。請問這首歌是什麼？",Happy Birthday to You (生日快樂歌)
文化,5,1,"每個國家法定的代表歌曲，通常在重要場合演奏或演唱，體現國家精神和民族情感。請問這類歌曲稱為什麼？",國歌 (National Anthem)
文化,5,3,"指在民間流傳、作者不詳的傳統歌曲，通常反映了勞動生活、風土人情或歷史故事。請問這類歌曲稱為什麼？",民謠 / 民歌 (Folk Song)
文化,5,4,"這種起源於美國南方非裔族群的音樂形式，通常表達憂鬱、苦悶的情感，對爵士樂、搖滾樂產生了重要影響。請問這種音樂形式是什麼？",藍調 / 藍調 (Blues)
文化,5,2,"指專為兒童創作或適合兒童演唱的歌曲，旋律簡單、歌詞易懂，例如《Twinkle, Twinkle, Little Star》。請問這類歌曲稱為什麼？",兒歌 / 童謠 (Children's song / Nursery rhyme)
文化,6,1,"指使用相機捕捉影像，並將其記錄在底片或數位感光元件上的藝術或技術。請問這是什麼？",攝影 (Photography)
文化,6,2,"使用毛筆、墨水在紙或絹上書寫漢字或其他文字的傳統藝術形式，講究線條、結構和意境。請問這是什麼藝術？",書法 (Calligraphy)
文化,6,3,"這位荷蘭後印象派畫家以其充滿激情、筆觸粗獷的作品聞名，代表作有《星夜》、《向日葵》等，生前窮困潦倒。請問他是誰？",文森·梵谷 (Vincent van Gogh)
文化,6,4,"這種在公共場所（如牆壁、地鐵）進行的非法或未經許可的繪畫或文字塗寫行為，現也發展為一種視覺藝術形式。請問這是什麼？",街頭塗鴉 (Graffiti)
文化,6,1,"這幅由李奧納多·達文西創作的肖像畫，以其神秘的微笑和高超的繪畫技巧聞名於世，現藏於法國羅浮宮。請問這幅畫是什麼？",蒙娜麗莎 (Mona Lisa)
文化,7,2,"這位意大利文藝復興時期的藝術家，不僅是畫家，也是雕塑家、建築師，創作了《大衛像》、《聖母慟子像》以及西斯汀禮拜堂的壁畫。請問他是誰？",米開朗基羅 (Michelangelo)
文化,7,1,"指使用石頭、木材、金屬、黏土等材料，透過雕刻、塑造等手法創作的三維藝術品。請問這種藝術形式是什麼？",雕塑 (Sculpture)
文化,7,3,"這座位於西班牙巴塞隆納的未完成教堂，由建築師安東尼·高第設計，以其獨特、充滿自然元素的有機形態和複雜結構聞名。請問這座教堂是什麼？",聖家堂 (Sagrada Família)
文化,7,4,"這種建築風格盛行於中世紀晚期的歐洲，以高聳的尖塔、尖形拱門、肋狀拱頂和大型花窗玻璃為主要特徵。巴黎聖母院是其代表作。請問這種建築風格是什麼？",哥德式建築 (Gothic architecture)
文化,7,2,"這座位於印度阿格拉的白色大理石陵墓，是蒙兀兒王朝皇帝沙賈汗為紀念其亡妻而建，被譽為世界建築奇蹟之一。請問這座陵墓是什麼？",泰姬瑪哈陵 (Taj Mahal)
文化,8,2,"這個聯合國機構致力於透過教育、科學、文化促進國際合作與和平，並負責評定世界遺產。請問這個機構是什麼？",聯合國教科文組織 (UNESCO)
文化,8,1,"指一個社會群體共同擁有的信仰、價值觀、習俗、藝術、知識和行為模式的總和，代代相傳。請問這個概念是什麼？",文化 (Culture)
文化,8,3,"指在特定文化背景下，被認為不吉利或應避免提及、接觸的人事物或話題。請問這個概念是什麼？",禁忌 (Taboo)
文化,8,4,"這個詞語指不同文化之間相互接觸、交流、影響和融合的過程。請問這個詞語是什麼？",文化交流 (Cultural exchange)
文化,8,2,"指將一種文化（通常是強勢文化）的元素強加於另一種文化，可能導致後者原有特徵的喪失。請問這個現象稱為什麼？",文化侵略 / 文化同化 (Cultural assimilation/imperialism)
娛樂,0,1,"這部由宮崎駿執導的動畫電影，講述兩姐妹在鄉下遇到神秘的森林守護者「多多龍」的故事，充滿童趣和想像力。請問這部電影是什麼？",龍貓 (My Neighbor Totoro)
娛樂,0,1,"這部日本漫畫由鳥山明創作，講述主角孫悟空尋找七顆龍珠，並不斷修煉、保衛地球的故事，風靡全球。請問這部漫畫是什麼？",龍珠 (Dragon Ball)
娛樂,0,2,"這位日本漫畫家以《ONE PIECE》（海賊王）聞名，該作品描寫主角魯夫立志成為海賊王，與夥伴們展開冒險的故事。請問這位漫畫家是誰？",尾田榮一郎
娛樂,0,3,"這類源自日本的影視作品，通常以大量特效描繪變身英雄、巨大怪獸或機器人戰鬥的故事，例如《超人力霸王》（鹹蛋超人）。請問這類作品稱為什麼？",特攝 (Tokusatsu)
娛樂,0,2,"這部由諫山創創作的日本漫畫，描寫人類為了生存，對抗會吃人的巨大生物「巨人」的故事，劇情黑暗且充滿懸疑。請問這部漫畫是什麼？",進擊的巨人 (Attack on Titan)
娛樂,1,1,"這款由任天堂開發的冒險遊戲系列，玩家扮演主角林克，在虛構的海拉魯王國展開冒險，拯救薩爾達公主。請問這個遊戲系列是什麼？",薩爾達傳說 (The Legend of Zelda)
娛樂,1,2,"這款由 Mojang Studios 開發的沙盒遊戲，玩家可以在一個由方塊組成的三維世界中自由探索、採集資源、建造和生存。請問這款遊戲是什麼？",Minecraft (我的世界)
娛樂,1,3,"這款由卡普空開發的狩獵動作遊戲系列，玩家扮演獵人，在豐富的生態環境中討伐各種巨大魔物。請問這個遊戲系列是什麼？",魔物獵人 / 怪物獵人 (Monster Hunter)
娛樂,1,1,"這是任天堂公司推出的家用遊戲機，以其創新的體感控制器和紅白機風格設計廣受歡迎，代表遊戲有《Wii Sports》。請問這款遊戲機是什麼？",Wii
娛樂,1,2,"這款由 Rockstar Games 開發的開放世界動作冒險遊戲系列，以其高度自由度、諷刺性的劇情和暴力內容而聞名。請問這個遊戲系列是什麼？",俠盜獵車手 / 橫行霸道 (Grand Theft Auto / GTA)
娛樂,2,1,"這款經典的棋盤遊戲，玩家透過擲骰子移動棋子，在棋盤上買賣地產、收取租金，目標是讓其他玩家破產。請問這款遊戲是什麼？",大富翁 / 地產大亨 (Monopoly)
娛樂,2,2,"這款抽象策略棋盤遊戲，兩位玩家在有格點的棋盤上輪流放置黑白棋子，目標是包圍並吃掉對方的棋子，佔據更多地盤。請問這款遊戲是什麼？",圍棋 (Go)
娛樂,2,3,"這是一種集換式卡牌遊戲，玩家扮演使用魔法的「鵬洛客」，利用生物、咒語等卡牌擊敗對手。請問這款遊戲是什麼？",魔法風雲會 (Magic: The Gathering)
娛樂,2,1,"這是一種常見的紙牌遊戲，目標是盡快出完手中的牌，當只剩下一張牌時要喊出遊戲名稱。請問這款遊戲是什麼？",UNO
娛樂,2,3,"這種推理遊戲通常在聚會中進行，玩家扮演不同角色（如狼人、村民、預言家），透過發言和投票找出隱藏的狼人。請問這款遊戲是什麼？",狼人殺 (Werewolf)
娛樂,3,1,"這部美國情境喜劇講述了六位住在紐約曼哈頓的好友的生活故事，播出長達十年，深受全球觀眾喜愛。請問這部劇集是什麼？",老友記 / 六人行 (Friends)
娛樂,3,2,"這部由香港無線電視（TVB）製作的長篇處境喜劇，圍繞一個大家庭的生活點滴展開，多年來深受香港觀眾歡迎。請問這部劇集是什麼？",愛·回家系列 (Come Home Love series)
娛樂,3,3,"這部英國廣播公司（BBC）製作的紀錄片系列，以其壯觀的地球自然風光和珍稀動植物影像而聞名，由大衛·艾登堡主持。請問這個紀錄片系列是什麼？",地球脈動 / 行星地球 (Planet Earth)
娛樂,3,4,"這部韓國電視劇講述了一位外星男子與一位頂級女演員之間的愛情故事，在亞洲掀起熱潮。請問這部劇集是什麼？",來自星星的你
娛樂,3,2,"指電視台或串流平台在特定時間段播出的電視節目，例如新聞報導、綜藝節目、電視劇等。請問這個總稱是什麼？",電視節目 (Television Program)
娛樂,4,1,"這位香港演員兼導演，以其自編自導自演的無厘頭喜劇電影聞名，代表作有《喜劇之王》、《少林足球》、《功夫》等。請問他是誰？",周星馳
娛樂,4,2,"這部由劉偉強、麥兆輝執導的香港警匪電影，講述警方臥底與黑幫臥底之間的鬥智鬥勇，後被好萊塢翻拍。請問這部電影是什麼？",無間道
娛樂,4,3,"這位香港導演以其獨特的暴力美學和江湖片聞名，代表作有《英雄本色》、《喋血雙雄》等。請問他是誰？",吳宇森
娛樂,4,1,"這位香港演員是國際知名的功夫巨星，以其融合了武術與喜劇的表演風格著稱，代表作有《警察故事》、《醉拳》等。請問他是誰？",成龍
娛樂,4,4,"這個香港電影獎項被譽為「香港奧斯卡」，旨在表彰香港電影界的傑出成就。請問這個獎項是什麼？",香港電影金像獎
娛樂,5,1,"這部由詹姆斯·卡麥隆執導的科幻電影，以其創新的3D技術和描繪潘朵拉星球的壯麗景象，打破了全球票房紀錄。請問這部電影是什麼？",阿凡達 (Avatar)
娛樂,5,2,"這個位於美國加州的電影製作中心，是許多大型電影公司和製片廠的所在地，被視為美國電影工業的代名詞。請問這個地方是哪裡？",好萊塢 (Hollywood)
娛樂,5,3,"這家美國動畫工作室以其電腦動畫電影聞名，創作出《玩具總動員》、《海底總動員》、《超人特攻隊》等經典作品。請問這家工作室是什麼？",彼思動畫製作室 / 皮克斯 (Pixar Animation Studios)
娛樂,5,1,"這個由漫威漫畫改編的電影系列宇宙，集結了鋼鐵人、美國隊長、雷神索爾等超級英雄，在全球範圍內取得了巨大成功。請問這個電影宇宙是什麼？",漫威電影宇宙 (Marvel Cinematic Universe / MCU)
娛樂,5,2,"這位美國導演以其史詩般的科幻電影和對技術創新的追求而聞名，執導了《鐵達尼號》、《阿凡達》、《未來戰士》等影片。請問他是誰？",詹姆斯·卡麥隆 (James Cameron)
娛樂,6,2,"這位日本動畫導演以其細膩的情感描寫和唯美的畫面風格著稱，執導了《你的名字。》、《天氣之子》等動畫電影。請問他是誰？",新海誠
娛樂,6,3,"這部韓國電影由奉俊昊執導，講述一個貧困家庭寄生於富裕家庭的故事，獲得了奧斯卡最佳影片等多項大獎。請問這部電影是什麼？",上流寄生族 / 寄生上流 (Parasite)
娛樂,6,1,"這個法國電影獎項被認為是法國國內電影的最高榮譽，相當於法國的奧斯卡獎。請問這個獎項是什麼？",凱薩獎 (César Award)
娛樂,6,4,"這部印度電影由阿米爾·罕主演，講述一位父親訓練女兒成為摔跤選手的故事，情節勵志感人。請問這部電影是什麼？",打死不離3父女 / 我和我的冠軍女兒 (Dangal)
娛樂,6,2,"這個每年在法國南部城市舉辦的國際電影節，是世界上最具影響力的電影節之一，最高獎項是金棕櫚獎。請問這個電影節是什麼？",康城影展 / 坎城影展 (Cannes Film Festival)
娛樂,7,1,"這位香港歌手被譽為「歌神」，以其精湛的唱功和深情的演繹聞名，擁有《吻別》、《每天愛你多一些》等眾多經典歌曲。請問他是誰？",張學友
娛樂,7,2,"這個香港女子音樂組合由蔡卓妍和鍾欣潼組成，在2000年代初紅極一時，代表作有《下一站天后》、《戀愛大過天》等。請問這個組合是什麼？",Twins
娛樂,7,1,"這位已故香港歌手和演員被譽為「哥哥」，是香港樂壇和影壇的巨星，代表歌曲有《風繼續吹》、《Monica》等。請問他是誰？",張國榮
娛樂,7,3,"這位香港填詞人以其充滿哲理和文學性的歌詞著稱，為許多歌手創作了大量經典作品，與林夕並稱為香港詞壇的兩大支柱。請問他是誰？",黃偉文 (Wyman Wong)
娛樂,7,2,"這個香港男子組合由12名成員組成，透過選秀節目《全民造星》出道，近年來在香港掀起熱潮。請問這個組合是什麼？",MIRROR
娛樂,8,1,"這位美國女歌手被譽為「流行天后」，以其多變的音樂風格和視覺形象、以及《Like a Virgin》、《Vogue》等歌曲聞名。請問她是誰？",麥當娜 (Madonna)
娛樂,8,2,"這個韓國男子音樂團體在全球範圍內取得了巨大成功，以其高質量的音樂、精彩的表演和積極的社會信息聞名。請問這個團體是什麼？",防彈少年團 (BTS)
娛樂,8,1,"這位已故美國男歌手被譽為「流行音樂之王」，以其獨特的歌聲、舞步（如月球漫步）和《Thriller》、《Billie Jean》等歌曲風靡全球。請問他是誰？",米高·積遜 / 麥可·傑克森 (Michael Jackson)
娛樂,8,3,"這個源自美國紐約市布朗克斯區的音樂和文化形式，包含饒舌（MCing）、唱片騎師（DJing）、霹靂舞（B-boying）和塗鴉（Graffiti）四大元素。請問這是什麼文化？",嘻哈 / Hip-hop
娛樂,8,2,"這位美國創作女歌手以其鄉村音樂起家，後轉型為流行音樂，創作了《Love Story》、《Shake It Off》等大量熱門歌曲，擁有極高的全球知名度。請問她是誰？",泰勒·斯威夫特 (Taylor Swift)
娛樂,9,2,"這種結合了歌唱、對白、表演和舞蹈的舞台藝術形式，通常有連貫的故事情節，例如《歌劇魅影》、《貓》。請問這種藝術形式是什麼？",音樂劇 (Musical Theatre)
娛樂,9,1,"指現場觀看歌手或樂隊表演的音樂活動，通常在體育館、劇院或戶外場地舉行。請問這種活動稱為什麼？",演唱會 / 音樂會 (Concert)
娛樂,9,3,"這個美國頒獎典禮被認為是美國乃至全球音樂界的最高榮譽，旨在表彰音樂產業的傑出成就。請問這個獎項是什麼？",格林美獎 / 葛萊美獎 (Grammy Award)
娛樂,9,4,"這個詞語指透過模仿著名歌手或其他名人的聲音、外貌或表演風格來進行娛樂表演。請問這種表演稱為什麼？",模仿秀 (Impersonation / Impression)
娛樂,9,2,"指錄製好的音樂專輯或單曲，透過實體（如CD、黑膠）或數位（如下載、串流）形式發行供聽眾欣賞。請問這個總稱是什麼？",唱片 / 音樂專輯 (Album / Record)
