題目,答案,難度,主分類,子分類
請問在ATP巡迴網球賽事中的三種地面材質分別是泥地、硬地以及？,草地 Grass,4.8,運動,個人球類
以智慧型合約及分散式應用程式為最大特色，2022年9月升級至2.0版本，用來交易NFT的區塊鏈是？,以太坊 Ethereum,5.6,理科,科技、資訊科技
唐朝晚年兩派士大夫之間的鬥爭稱為「牛李黨爭」，其中「牛」是指牛僧孺，那麼「李」是指誰？,李德裕,7,歷史,中國史（隋～清中葉）
Jace Chan 是指香港女歌手陳凱詠，請問 Jason Chan 是指哪一位本名陳廣偉之香港男歌手呢？,陳柏宇,4.5,娛樂,廣東流行音樂
柴灣位於東區，那麼柴灣角位於哪一區？,荃灣區 Tsuen Wan District,6.4,地理,香港
以科學方法研究人類社會組織、結構與活動的學科稱為社會科學；那麼與之相對，以科學方法研究大自然中有機或無機事物與現象之學科稱為？,自然科學 Natural Science,5,理科,理科Crossover
在龍與地下城中，角色的倫理道德態度的分類可畫成一個陣營九宮格。一般而言，左上角代表的是守序善良，那麽，右下角代表的是？,混亂邪惡 Chaotic Evil,3,娛樂,娛樂Crossover
別名有玫瑰之城、砵蘭等等，當地有知名球隊拓荒者，位於美國俄勒崗州的主要城市是？,波特蘭 Portland,6.8,地理,美加
模擬電視的螢幕長闊比多數是4：3，那麼現時高清電視和數碼電視的長闊比多數都是？,16：9,4.7,,生活
Smallpox在中文是指天花，那麼Great Pox是指哪一種性傳染病？,梅毒,6,理科,醫學、衛生
請問在寫字或者作畫時用來壓住紙張的重物稱為甚麼？,紙鎮 Paperweight,3,生活,生活
由顧家輝作曲、黃霑填詞、葉麗儀主唱，歌詞第一句是「浪奔 浪流」的電視主題曲是？,上海灘,4,娛樂,廣東流行音樂
位於尖沙咀梳士巴利道10號，請問這個外型像一個菠蘿包，康文署轄下的博物館是？,香港太空館 HK Space Museum,2,地理,香港
於「度量衡」一詞中，「度」是指長度，而「量」是指容量，請問「衡」是指？,重量,5,理科,理科Crossover
請問在《周易》中，用作解釋卦象意義的句子「天行健」的下一句是？,君子以自強不息,4.4,文學,中文文學（古典）
在歐洲五大足球聯賽的積分系統中，一個隊輸了比賽會得0分，而賽和會得1分，那麼贏了比賽會得幾多分？,3分,3.8,運動,團體球類
在網絡上指人誤信謠言， 同時可以指車禍嘅廣東話詞語是？,炒車,2.8,語言,廣東話
貝多芬《第5號交響曲》的別稱是《命運交響曲》，那麼貝多芬《第6號交響曲》的別稱是？,田園交響曲 Pastoral Symphony,6.8,文化,古典樂
這種物質只存在於傳說之中，古時的鍊金術士一直追求這種物質，請問這種被認為可以將普通金屬變成黃金的物質是？,賢者之石,5.3,社會,宗教、神秘學
在香港幹線系統中，1號幹線利用紅隧過海、而2號幹線利用東隧過海，那麼3號幹線利用那條隧道過海？,西隧,4.7,地理,香港
大腦皮質基底核退化症、購物狂症、大麻二酚、城市中之核心商業區都可以用哪個三字英文簡稱表達？,CBD,4,語言,英文
請問成語「朝三暮四」是出自道家經典《莊子》的哪一篇？,齊物論,6.4,文學,中文文學（古典）
主音是吳青峰，代表作品有《喜歡寂寞》、《小情歌》、《無與倫比的美麗》的台灣樂團是？,蘇打綠 Sodagreen,5.4,娛樂,其他流行音樂
網絡上用來描述人飲醉酒或者吸食大麻後，進入精神彷彿的狀態，請問這個原本意思是指石頭的英文單字是？,Stone,2.5,語言,英文
在網絡上指藝人意外流出的色情照片，請問這個原本指印有藝人肖像、表面閃閃發亮的小卡片的詞語是？,閃卡,6,文化,流行文化
VR所指的是虛擬實境Virtual Reality，那麼AR所指的是甚麼？,Augmented Reality 擴充實境,4.6,理科,科技、資訊科技
在國際經濟組織中，G7、G20當中的G都代表哪個英文單字？,Group,4.8,社會,政治
由古希臘盲詩人荷馬創作的兩部長篇史詩分別是《伊利亞特》和哪個史詩？,《奧德賽》 Odyssey,5.8,文學,西方文學
請問香港歌手江海迦、郭富城、江𤒹生，他們的英文名縮寫都是哪個同時可以代表一種步槍家族的縮寫呢？,AK,4,娛樂,廣東流行音樂
它象徵皇帝的權力和榮譽，皇帝可以將它賜予大臣或者將軍，容許他們先斬後奏，請問這一把劍是？,尚方寶劍,4.7,文化,中華文化、風俗
備忘錄或者備忘便條一般俗稱為「memo紙」，當中「memo」是哪一個英文字的略稱？,Memorandum,7.6,語言,英文
在香港，經營銀行業務的存款機構有三種，請問它們分別係接受存款公司、有限制牌照銀行以及哪種機構？,Licensed Bank 持牌銀行,6,社會,商業、金融
記載於《詩經‧魏風》，借描寫老鼠偷吃穀物來諷刺剝削人民的統治者。這首四言詩是？,《碩鼠》,6.2,文學,中文文學（古典）
它是用來量度某時間內通過導體橫截面的電荷量的單位，符號是 A。請問這個國際單位制中的其中一個基本單位是？,安培 Ampere,4.5,理科,化學
在經濟學上，壓低成本、大量傾銷等傳統商業手法，稱為紅海策略。那麽開創尚未被開發之全新市場、以創意獲取高額報酬的商業手法是？,藍海策略 Blue Ocean Strategy,5,社會,經濟
古時希臘人會將它頒發給運動比賽的勝利者，象徵榮耀和勝利，請問這一個用月桂的枝條所製作的東西是？,桂冠,4.3,文化,其他文化、風俗
請問現時香港處理屍體最主流的方法，是哪一種將屍體燒成灰燼的處理方法？,火葬,2.7,生活,生活
CEO英文全稱是Chief Executive Officer，那麼CFO全稱是？,Chief Financial Officer,4.7,語言,英文
芭蕾舞用語主要以法文表示，其中pas de cheval 可譯作「馬步」，請問pas de chat可譯作甚麼同樣以哺乳類動物命名的動作？,貓步 / 貓躍,7,運動,運動（其他）
在「科普」一詞中，「科」是指科學，請問「普」是指？,普及,2.7,理科,理科（其他）
請問由王莽建立，在西漢和東漢兩朝之間建立的短暫皇朝是？,新朝,4.7,歷史,中國史（～魏晉南北朝）
請問北韓每年4月15號慶祝的太陽節，是為了紀念那一位人物的誕辰呢？,金日成,5,文化,其他文化、風俗
桌球中之一局、計劃、插贓嫁禍、框架，都可以哪個英文字表達？,Frame,5,語言,英文
肱骨外上髁【音：科】炎通常俗稱為「網球肘」，那麼肱骨內上髁炎通常被俗稱為哪個包含著需要用球杆的球類運動的名稱？,高爾夫球肘 Golfer’s elbow,6,理科,醫學、衛生
可以用來製作年糕、粽、湯圓等食品，比一般稻米更加有黏性的米是？,糯米,3.3,生活,飲食
主要訓練上半身的肌肉，做法是將雙手握在上方的橫桿，然後利用背部及手部肌肉將自己向上拉的動作是？,引體上升,3.3,運動,健體
因為切開後呈星形，而在英文中稱為Starfruit，中秋節中常吃的食物是？,楊桃,2.8,生活,飲食
雙鍵或環狀化合物會因結構而令自由旋轉受阻，因此產生兩個物理性質或化學性質均不相同的同分異構體，它們分別稱為順式異構體（cis-isomers）和哪一種異構體？,反式異構體 Trans-isomers,5.4,理科,化學
在廣東話歇後語中，「濕水欖核」的下一句是「兩頭擳」，那麼「濕水棉花」的下一句是？,無得彈,6,語言,廣東話
曾經說過「革命尚未成功，同志仍須努力」，被尊稱為國父的近代中國政治家是？,孫中山,1.3,歷史,中國史（清末～）
《放學後》、《秘密》、《白夜行》、《嫌疑犯X的獻身》、《解憂雜貨店》，都是哪一位日本作家的作品？,東野圭吾,5,文學,東方文學
請問在排球運動中，每隊最多只可以連續擊球幾多次？,3,4,運動,團體球類
請問香港網絡用語「利申」的全稱是哪一個四字詞？,利益申報,2.7,語言,廣東話
它是道教其中一種醫病的方法，請問這個先將符籙燃燒、融入水中，然後再比病人飲用的治療方法是？,符水,4.7,文化,中華文化、風俗
可用來製造綠色的色素，能夠吸收二氧化碳和陽光來產生氧氣，進行光合作用的化學物質是？,葉綠素 Chlorophyll,3,理科,生物學
香港次級的足球聯賽是香港甲組足球聯賽，那麼香港頂級的足球聯賽是？,香港超級足球聯賽 Hong Kong Premier League,5,運動,團體球類
原自30年代的舞台劇，意指一個人或者一個組織隱秘地令受害者逐漸開始懷疑自己，質疑自己的記憶力，感知力或判斷力的心理操控手法是？,煤氣燈效應 Gaslighting,6.8,社會,心理學、社會學
瞞天過海、笑裏藏刀、拋磚引玉、混水摸魚、指桑罵槐、走為上計都記載於哪一本中國古代兵法書？,孫子兵法,5.4,文學,中文文學（古典）
曾經被稱為小上海、現時則被稱為小福建，香港島的最北端是？,北角,4.3,地理,香港
A大調對應F#小調，而B大調對應G#小調，那麼C大調對應哪個小調呢？,A小調,5,文化,樂理、樂器
出生於澳門，14歲跟隨大佬B，後來在大佬B死後成為銅鑼灣揸Fit人，請問這位在漫畫《古惑仔》中登場的主要角色是？,陳浩南,5,娛樂,動漫畫
與道教、儒教合稱為中華文化「三教」的是哪一個由印度傳入，分為大乘及小乘兩派的宗教？,釋教 Buddhism,2.2,社會,宗教、神秘學
在公元755年至763年發生，引致藩鎮割據的局面，由安祿山與史思明發起的動亂是？,安史之亂,4.2,歷史,中國史（隋～清中葉）
在2022年10月推出歌曲Sell Out ，引起BLACKPINK粉絲不滿，主要在YouTube發佈古典音樂及小提琴影片的二人組合是？,雙琴俠 TwoSetViolin,5.6,娛樂,娛樂（其他）
Atmosphere在中文解作大氣層，那麼Hemisphere在中文解作甚麼？,半球,4.3,語言,英文
一個養分循環系統主要有三個組成部分，請問它們分別是生物量Biomass、枯枝落葉Litter以及甚麼？,土壤Soil,5.7,理科,地球科學
大陸人口最高的城市是上海，那麼臺灣人口最高的城市是哪一個前身是臺灣省臺北縣、於2010年升格為直轄市的臺灣北部城市呢？,新北市 New Taipei City,6,地理,大中華地區
阿爺的兄弟稱為伯公或者叔公，請問阿嫲的兄弟稱為？,舅公,5,文化,中華文化、風俗
在足球比賽中，當兩隊經過30分鐘的加時依然打成平手，會用甚麼方式決定勝負？,互射12碼 Penalty shoot-out,3,運動,團體球類
可以供2－6個玩家遊玩，棋盤是一個六角星，目的是將自己的棋子全數移動至對角的棋類遊戲是？,波子棋,4.5,娛樂,遊戲（其他）
Gracias、Merci、ありがとう、Thank You在中文都有甚麼意思？,多謝,1,語言,語言（其他）
請問「鋤禾日當午，汗滴禾下土，誰知盤中飧，粒粒皆辛苦」是出自哪一首唐詩？,《憫農》,4.2,文學,中文文學（古典）
球體表面面積的公式是4*pi*r^2，那麼球體體積的公式是？,4/3 π r^3,3,理科,數學、電腦科學
香港鐵路網絡中，迪士尼站屬於迪士尼綫，那麼海洋公園站屬於哪條綫呢？,南港島綫,3.3,地理,交通
在自動波汽車中，短期停留在道路上時要入N波，那麼要停泊在路邊或停車場的時候，最後要入甚麼波段？,P波 Park gear,3.6,生活,生活（其他）
公司 Logo 是公司英文簡稱 SC 互相交織的圖像，請問這一間總部位於倫敦，香港其中一間發鈔銀行是？,Standard Chartered 渣打銀行,4.7,社會,商業、金融
請問濫發信息、垃圾郵件、午餐肉都可以用哪一個英文詞語表示？,SPAM,4.5,語言,英文
西方傳統習俗中認為新娘準備四種特定的東西會帶來好運，分別是舊物件、新物件、借來的物件和哪種顏色的物件？,藍色（的物件） something blue,7,文化,其他文化、風俗
由陳獨秀創辦，帶動新文化運動，將科學與民主稱為「賽先生」與「德先生」，原名為《青年雜誌》的刊物是？,《新青年》New Youth,5.8,歷史,中國史（清末～）
Hoba、Ketch' Up、GoBee、ofo、Loco，請問以上都是何種新興城市交通模式之服務營辦商呢？,共享單車 bike sharing,5,地理,交通
在國際籃球總會的比賽中，一節比賽長10分鐘，那麼在NBA的比賽中，一節比賽長多少分鐘？,12分鐘 12 minutes,4.2,運動,團體球類
在瑜珈動作中，俯卧在地上，腰部、小腿和腳背貼地，用雙臂把上半身撐起的動作是哪一種在名字中含有爬蟲類動物的動作？,眼鏡蛇式 cobra (+/-pose),6.8,生活,興趣
在范仲淹的岳陽樓記中，「居廟堂之高」的下一句是「則憂其民」，那麼「處江湖之遠」的下一句是？,「則憂其君」,4.3,文學,中文文學（古典）
李家超上任時，創新及科技局更名為「創新科技及工業局」，那麼民政事務局更名為？,民政及青年事務局 Home and Youth Affairs Bureau,7,社會,政治
喺俗語中可以指公司入面一啲外表美麗，但實際上冇咩職務，只係為咗取悅老闆、顧客嘅女員工，請問呢一個用嚟盛載花卉嘅容器？,花瓶,2.8,語言,諺語、俗語
字面意思係指將靈魂轉移到死亡嘅屍體以延續壽命，請問呢一個意思係指某啲已經消失嘅事物，假借新嘅名義重新出現嘅四字成語係？,借屍還魂,5.3,語言,成語
請問在香港一般的紅綠燈的三種燈之中，只有哪一個在亮起時，必定是只有它單獨一個亮起？,綠,3.8,生活,生活
在含有水汽的空氣中，海拔高度每提升100米，氣温便會下降約攝氏0.6度，請問此下降率稱為什麼？,氣温垂直遞減率 Lapse Rate,7.8,理科,地球科學
前英國首相邱吉爾、前香港特首曾蔭權等都以此為象徵，請問這種又稱領結，是一種圍繞在頸部的飾物是？,煲呔 Bowtie,4.6,生活,服飾、時尚
包括鈧、釔同鑭系元素，呢啲金屬難以提取，可以用嚟製作催化劑、磁鐵、以及其他電子產品，呢種金屬產量最多嘅國家係中國，請問呢種金屬係？,稀土金屬 Rare-earth Metals,4.3,理科,地球科學
它的數值在不同佛教經典中有不同，可表示約0.013秒或0.018秒，請問這個現時在中文用以表達一段極短時間的詞語是？,剎那,4,語言,中文
於士碌架桌球比賽中，若然對手並無犯規，則最多可一桿取得幾多分？,147,0,運動,個人球類
福祿壽、惠比壽、壽老人、毘【音：皮】沙門天、辯才天、大黑天、布袋和尚，請問這七位在日本文化中被認為會帶來福氣的神合稱什麼？,七福神,6.4,生活,生活（其他）
請問在英制的重量單位中，1磅等於多少安士？,16,5,生活,生活
華氏負459.67度、開氏 0 度、攝氏負273.15度，以上都是熱力學的最低温度，請問其名稱是？,絕對零度 Absolute Zero,4.8,理科,物理學
《糖不甩》、《南瓜車》、《男孩像你》、《奇洛李維斯回信》等，都是由誰主唱的歌曲？,薛凱琪,0,娛樂,廣東流行音樂
出現在《水滸傳》及《金瓶梅》中，是不守婦道的象徵，請問這位在兩本書中均被武松打死的人是？,潘金蓮,4.8,文學,中文文學（古典）
呢種方法係將標準溶液一滴一滴加入被分析溶液中，利用顏色變化、沉澱或者導電率等等嘅變化嚟確定反應嘅終點，請問呢種分析化學嘅實驗方法係？,滴定 Titration,6,理科,化學
曾建立基督教電視台「創世電視」，請問這個自稱發現挪亞方舟殘骸而遭質疑的香港基督教組織是？,影音使團 The Media Evangelism,7.2,社會,宗教、神秘學
正宗製作方法為在加糖調味後的水牛奶中加入薑汁，使奶凝固的中式甜品是？,薑汁撞奶,0,生活,飲食
在十進制裏，如果一個平方數的十位是單數，則它的個位數只有一個可能值，請問是？,6,0,理科,數學、電腦科學
詩人白居易的字、大喜屋的前綴、以出產熊仔餅聞名的韓國公司名，均用了哪一個二字詞？,樂天,4.4,生活,生活（其他）
這個虛構角色被稱為舊中國農村勞動婦女的典型，請問這位魯迅小說《祝福》裏作為傭人，因為兒子被狼咬死而精神失常的角色是？,祥林嫂,6,文學,中文文學（近代、現代）
北家沒有摸牌尾、開槓後忘記摸嶺上牌、忘記補花等都會導致這種情況發生，請問這種指打麻雀時手牌數比正常少的香港麻雀術語是哪三個字？,小相公,3.6,娛樂,遊戲（其他）
AIA中文指友邦保險，那麼AXA中文指哪間保險公司？,安盛,4.5,,企業團體
主音於1983年因曾服用大量吐根糖漿而導致心臟衰竭和神經性厭食症而逝世，著名作品有《Top of the World》、《Close To You》、《Yesterday Once More》等的兄妹組合是甚麼？,木匠兄妹 The Carpenters,0,娛樂,其他流行音樂
指不需外界輸入能源便能夠不斷運作的機械。請問這種根據現行物理的理論不可能存在的機械是？,永動機 Perpetual Motion,0,理科,物理學
於日文，由西洋傳入之甜點會稱為「洋菓子」；噉請問與之相對，源自日本之傳統甜點會稱為？,和菓子 Wakashi,4,生活,飲食
又稱為雷公壺，具有捕蟲籠，會釋放蜜汁引誘昆蟲進入，請問這種食肉植物是？,豬籠草,7.2,理科,動植物
作為曾蔭權推廣2012年政改的標語，請問與「超錯」字型接近的二字是？,起錨,4.6,社會,時事
阿嫲之姊妹稱為姨婆，請問阿爺的姊妹會稱為甚麼？,姑婆,4,文化,中華文化、風俗
發出此訊號時必須連發三次，是最高級別的求救訊號，請問這個同時是台灣一隊樂隊的英文名稱是？,Mayday,4.6,生活,生活
請問在香港島四個區議會分區中，哪一個並非以方位命名？,灣仔,2.8,地理,香港
請問在「九流十家」之中，唯一一個不入流的家是？,小說家,5.8,文化,中華文化、風俗
這個四字成語比喻人在佔了小便宜後變本加厲，其中包含兩個長度單位，請問是？,得寸進尺,3.2,語言,成語
喺化學上，為確定某一元素或化合物嘅存在而進行嘅分析稱為定性分析 Qualitative Analysis ，請問為確定某一元素或化合物嘅數量而進行嘅分析稱為？,定量分析 Quantitative Analysis,4.5,理科,化學
在香港，當上市公司預測盈利大幅倒退時，會向投資者發盈警，那麼當預測盈利大幅上升時，會向投資者發出甚麼？,盈喜,6.4,社會,商業、金融
在每一年裏，與一個在生的人的出生日期月、日都相同的一天稱為生日，那麼與一個已經死去的人的出生日期月、日都相同的一天稱為什麼？,生忌,4.2,語言,中文
位於香港中文大學崇基學院之李兆基建築學大樓俗稱「AIT」，請問「AIT」之全寫係？,An Integrated Teaching Building,5,生活,企業團體
由伍樂城作曲，黃偉文填詞，麥浚龍有份主唱的「愛情三部曲」分別是《耿耿於懷》、《念念不忘》以及什麼？,羅生門,4.4,娛樂,廣東流行音樂
有江寧、建業、建康、金陵等別稱，請問這個位於長江下游，江蘇省的省會是？,南京,5.3,地理,大中華地區
歌手陳奕迅其中一首歌，同時係一首中國傳統樂曲，請問呢個原本指韓信擊敗項羽所用過計謀係？,十面埋伏,0,文學,文學Crossover
這一種設施在香港有約800個，其中現存最舊的位於皇后大道中與威靈頓街交界。請問這個在廣東話中可形容事物十分普遍的公共衞生設施是？,公廁,3.8,語言,廣東話
英格蘭首府係倫敦，而蘇格蘭首府係愛丁堡，請問威爾士首府係？,卡迪夫 Cardiff,5,,歐洲
它是指電腦程式或遊戲等的隱藏功能和訊息，名稱源自「尋找復活蛋」遊戲的電腦術語是？,彩蛋 easter egg,3.4,娛樂,遊戲（電子）
這項活動在香港已舉辦七屆，主題曲為《人人起勁》，請問這個疫情前兩年一度，以十八區區議會為參賽單位的大型綜合運動會是？,全港運動會 The Hong Kong Games,5.2,運動,運動會、運動賽事
一般由五個三角形、一個平行四邊形和一個正方形的版塊組成，玩家可用這七塊牌拼出不同的形狀。請問這個智力遊戲是？,七巧板 Tangram,0,娛樂,遊戲（其他）
目前在中國，這段時期從每年5月1日開始，至8月16日結束。請問這個為確保可持續發展，而禁止使用數種指定捕魚方法的時期稱為什麼？,休漁期 Fishing Moratorium,4.8,理科,地球科學
一戰後，由於德國於山東的權益被轉讓至日本，引發中國民眾不滿，成為中國近代一場影響深遠的社會運動，請問這個以發生的日期命名的社會運動是？,五四運動,5.3,歷史,中國史（清末～）
它有咖喱、砂拉越、亞參等分類，請問這種馬來西亞著名的麵食是？,叻沙 Laksa,5.4,生活,飲食
請問在成語「連中三元」裏，「三元」分別是指解元、會元以及什麼？,狀元,0,語言,中文
夜晚露天咖啡座、向日葵、星夜，請問以上嘅作品都係由邊一位罹患精神病嘅荷蘭印象派畫家所畫？,梵高 Van Gogh,4,文化,平面藝術
這元素的英文名稱結合了「硝酸」和「生成」，常用於薯片等食品包裝，地球大氣中含量最高的元素是？,氮氣 Nitrogen,0,理科,化學
林振強、張國榮、謝婉雯、梅艷芳，請問以上人士都是在哪一年逝世？,2003,3.4,社會,時事
「有內鬼終止交易」、「我唔似你，我見得光」、「對唔住，我係差人」，請問以上句子及台詞均是出自哪套香港電影？,無間道,0,娛樂,電影（香港）
中國古時稱為斯加里野，係地中海最大嘅島，請問呢一個位於意大利南部嘅島嶼係？,Sicily 西西里,5,,歐洲
筆下角色有藍絲、黑紗、黃絹、衛紅綾、白素等，著作有年輕人與公主系列、亞洲之鷹羅開系列、原振俠系列等，於今年7月3日逝世的科幻小說家是？,倪匡,0,文學,中文文學（近代、現代）
一個通常落於公曆10月23號之節氣，一種油花分布約兩至三成之肥牛肉，請問以上都可以用何個二字詞形容？,霜降,5,生活,生活Crossover
在傳說中位於龍的喉嚨下端，生長方向與其他相反，只要觸碰到便會令龍大怒，後來用於比喻人的禁忌、底線的詞語是？,逆鱗,5,語言,中文
廣東一帶有所謂嘅油器三寶，請問佢哋分別係鹹煎餅、牛脷酥以及？,油炸鬼,3.3,生活,飲食
喺成語蕭規曹隨中，蕭同曹係指兩位西漢時代嘅丞相，蕭係指蕭何，請問曹係指？,曹參,7,,中國史（～魏晉南北朝）
家維邨、樂民新村、常樂邨、愛民邨、馬頭圍邨，請問上述嘅公共屋邨都係位於邊一區？,九龍城區,5.3,地理,香港
這個實驗於17世紀進行，展示了大氣壓力的作用，請問這個用上十數隻馬匹把兩個半球分開，在馬德堡進行的實驗是？,馬德堡半球 Magdeburg Hemispheres,6.4,理科,物理學
它是一種樹脂的化石，裏面可能藏有昆蟲化石，請問這一種多數為黃色的寶石是？,琥珀 Amber,4,生活,服飾、時尚
作為一種簡易替換加密方式，做法是將明文中所有字母向前或向後移動某個指定數目轉換成密文，請問此種因據說被羅馬大帝用作與將軍聯繫而名之加密法是？,凱撒密碼 Caesar cipher,5,文化,其他文化、風俗
於香港地下鐵路網絡中，由於通車初期從任何一邊總站起計均為第八個車站而被俗稱「第八站」，請問這個作為九廣鐵路轉乘站之地下鐵路站是？,九龍塘站,0,地理,交通
喺廣東話可以解作麻煩嘅事，請問呢一個同時可以指舞獅時頭戴面具、手持葵扇，帶領舞獅嘅人嘅詞語係？,大頭佛,4.7,語言,諺語、俗語
這本書被寓為女權思想的聖經，從存在主義的角度論述了女性弱勢的事實和原因。請問這本由作家西蒙波娃所著的書是？,第二性 The Second Sex,7,文學,西方文學
係一種用黃糖、粘米粉整嘅傳統廣東糕點，請問呢個喺廣東話可以指中係隱形胸罩嘅食物係？,砵仔糕,3,生活,生活Crossover
穿高跟鞋、扁平足均可能增加患此病症的機會，請問這種指波子骨突出，腳部拇趾移位指向外側的病是？,拇趾外翻 Hallux valgus,5.4,理科,醫學、衛生
可以指一種小型球體玩具，請問呢個同時可以指汽車品牌保時捷嘅廣東話俗語係？,波子,4,語言,語言Crossover
由數學家伯努利發現，可用來計算不定式的極限，方法是對分子和分母同時求導數，請問這個定理是？,洛必達法則 L'Hôpital's rule,6.6,理科,數學、電腦科學
最早見於魏晉南北朝，在新生兒周歲時，家人將各種物品擺放於小孩面前任其抓取以預測嬰兒的前途的習俗稱為甚麼？,抓周/試兒/試周/拿周,0,文化,中華文化、風俗
電腦圖像主要有兩種表示的方式，其中一種是點陣圖 Bitmap，請問另一種以儲存直線、多邊形等元素的來表示圖像的方式稱為什麼？,向量圖 Vector Graphic,6.2,理科,數學、電腦科學
成立於2001年，樂團成員多出自國立政治大學，2019–22年間因著作權糾紛改以「魚丁糸」名義活動，請問此以歌手吳青峰為主音之臺灣樂隊係？,蘇打綠 Sodagreen,0,娛樂,其他流行音樂
父母為塞爾維亞裔人，撰寫自傳《人生不設限》，出生時患有先天性四肢切斷症的著名作家及演講家是？,力克·胡哲 Nick Vujicic,4.6,生活,生活（其他）
是4號幹線的一部分，於2019年全線通車，請問這一條容許使用者繞過中環同灣仔，來往西區同東區的公路是？,中環灣仔繞道,5,地理,香港
事件造成超過30萬人罹難，主要受災國家包括印尼、斯里蘭卡、泰國等，請問呢一個喺2004年嘅Boxing Day發生嘅地質災害係？,南亞大海嘯,3.8,地理,東南亞
主場位於晏菲路球場，球隊口號係You Will Never Walk Alone，喺2020年奪得英超冠軍，請問呢一支英格蘭球隊係？,利物浦 Liverpool,6,運動,團體球類
它是一種休閒活動，同時也是一個網絡術語，指引誘他人，令他們受害，亦可以比喻人昏昏欲睡時頭部擺動的詞語是？,釣魚,2.4,語言,廣東話
妻子係蒙嘉慧，曾經飾演華英雄、聶風、陳浩南等角色，請問呢位暱稱伊麵嘅男演員、歌手係？,鄭伊健,4,娛樂,電影（香港）
喺1941年上台，下令發動珍珠港事件，請問呢一個喺1948年因為戰爭罪行而被處死嘅日本首相係？,東條英機,6,,世界史（近現代）
以希臘神話夢境與睡眠之神命名，一種常見嘅止痛藥，同時係鴉片類藥物，有高度成癮性同嚴重副作用，因而喺好多國家被嚴格管制嘅藥物係？,嗎啡 Morphine,5.5,理科,醫學、衛生
請問歐洲股市三大指數分別是英國富時100指數、法國 CAC 40 指數以及哪一個來自德國的指數？,德國 DAX 指數,5.3,社會,商業、金融
